station_name,latitude,longitude,total_bikes,institution name,category,distance,bank_count,bar_count,restaurant_count,total_institutions
Dufferin Gate - SMART,43.633473,-79.425679,16,,,,,,,
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,15,,,,,,,
Niagara St / King St W - SMART,43.64281323408372,-79.40751415588915,24,Burro BurritoKoh Samui Thai KitchenThe Foggy DewCanadian Corps Association,restaurantrestaurantbarbar,93.0,0.0,2.0,2.0,4.0
Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172,13,Master's Buffeteria Inc,restaurant,28.0,0.0,0.0,1.0,1.0
Princes' Blvd / Nunavut Rd,43.6333523484014,-79.41436313073005,19,,,,,,,
Kingston Rd / Scarborough Golf Club Rd,43.74531103700256,-79.20970650787817,13,,,,,,,
Harbord St / Grace St (Bickford Park),43.65995363518053,-79.41787388888551,22,Sweetie PieSweetie Pie,restaurantbar,82.0,0.0,1.0,1.0,2.0
Alvin Ave / St Clair Ave E,43.68871,-79.39264,19,Mermaid Fish and Grill HouseMermaid Fish and Grill HouseBooster JuiceGonoe Modern Sushi & BarKaizen SushiMeridian Credit Union ATMNational Bank Financial,restaurantbarbarbarbarbankbank,277.0,2.0,4.0,1.0,7.0
Chorley Park - SMART,43.6856,-79.3718,17,,,,,,,
Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,29,,,,,,,
Yonge St / Davisville Ave,43.6975969,-79.39654,14,Second Cup Coffee CoThai ExpressMr. SubJjs Cafe & DeliSecond Cup Coffee CoThai ExpressMr. SubJjs Cafe & DeliHomEquity BankCHIP Reverse Mortgage | HomEquity Bank,restaurantrestaurantrestaurantrestaurantbarbarbarbarbankbank,397.0,2.0,4.0,4.0,10.0
Berry Rd / Bell Manor Dr,43.63732,-79.489083,19,Busy Bee Bargains,bar,49.0,0.0,1.0,0.0,1.0
Adelaide St W / York St ,43.6491919790139,-79.38363237427446,18,SubwayExchange Tower Food CourtButter Chicken RotiMcNeil John S QC Barrister & SolictorBarnes CommunicationsRBC Royal BankPeople's Trust CoLaurentian Bank of Canada,restaurantrestaurantrestaurantbarbarbankbankbank,261.0,3.0,2.0,3.0,8.0
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,34,,,,,,,
St Clarens Ave / Shirley St,43.6486599,-79.4376413,14,,,,,,,
