station_name,latitude,longitude,total_bikes
Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,11
Shaw St / King St W,43.6412561641921,-79.41502994047545,14
Havelock St / Dewson St,43.6554793,-79.4302462,14
Kilgour Rd / Rumsey Rd,43.718039,-79.371914,17
Spadina Ave / Blue Jays Way,43.641705,-79.393295,30
Glendonwynne Rd / Bloor St W,43.65182,-79.47421,17
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,15
2700 Eglinton Ave W,43.69074600637147,-79.47820143344333,40
Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,14
75 Holly St,43.7063279,-79.3962499,19
Starspray Blvd / Lawrence Ave E,43.788525214554085,-79.1231844760227,18
The Pond Rd / Shoreham Dr,43.772445,-79.511912,15
Adelaide St W / Yonge St,43.65038002325664,-79.3787277120385,19
Lynn Williams St / East Liberty St,43.638925,-79.4168659,14
King St E / Berkeley St,43.651885,-79.3649,31
Royal York Rd / Mimico Ave,43.612063,-79.496573,18
King St W / Charlotte St,43.645572,-79.39399,18
Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,19
Harbord St / Clinton St,43.660414,-79.415646,13
Jameson Ave / Queen St W,43.63985,-79.43703,25
High Park - Grenadier Cafe,43.645599,-79.4657123,10
High Park Amphitheatre,43.646251,-79.46472,20
Gothic Ave / Quebec Ave,43.65389,-79.4675,18
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,14
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,18
College St / Borden St,43.6571,-79.4056,11
Coxwell Ave / Plains Rd,43.69595,-79.328535,19
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,15
Glen Long Community Centre,43.70820992643782,-79.45627808717194,14
Taddle Creek Park,43.66986,-79.398443,13
Bloor St E / Huntley St - SMART,43.671535,-79.379173,20
Gerrard St E / Leslie St,43.669813,-79.3335,23
Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,19
Maud St / Adelaide St W - SMART,43.6460145694434,-79.39960497726345,15
Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,18
High Park - West Rd,43.651922,-79.465693,22
King St W / Jordan St,43.648928,-79.378623,9
Morningside Park (Highland Creek Trail),43.779353,-79.193023,23
Ellesmere Rd / Markham Rd,43.77682938751077,-79.2305003612381,15
King St W / Cowan Ave - SMART,43.637922,-79.431734,16
Trethewey Dr / Black Creek Dr,43.695498400279796,-79.48809394482672,14
Adelaide St W / Bay St,43.650152,-79.379856,22
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,33
Brahms Ave / Finch Ave E,43.79236326442992,-79.35836318028717,19
King St W / Crawford St,43.6417852,-79.4131148,23
Isabella St / Church St,43.66834,-79.38235,27
Durie St / Dundas St W,43.665523,-79.484892,23
Trent Ave / Danforth Ave,43.689293,-79.295895,23
Marilyn Bell Park Tennis Court,43.633537,-79.437461,26
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,13
Joe Shuster Way / King St W ,43.64039672322004,-79.4237424131447,17
Sherbourne St / Wellesley St E,43.6673,-79.374,30
Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,14
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,15
135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,16
15 Price St ,43.6799477790745,-79.38994813684005,10
Jarvis St / Dundas St E,43.657266,-79.374756,25
Orde St / McCaul St,43.6580442,-79.3927404,15
University Ave / King St W - SMART,43.6477785,-79.3847928,22
Islington Ave / Finch Ave W,43.74445257991756,-79.56824985721664,12
The Queensway at South Kingsway,43.63632,-79.47307,20
Roehampton Ave / Bayview Ave,43.711751,-79.378615,27
Phoebe St / Spadina Ave,43.650033,-79.396555,32
Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,21
Bay St / Bloor St W (East Side),43.66943,-79.38915,14
Symington Ave / Dupont St,43.665538,-79.451263,15
